dc,Station Number,Year,Month,Day,Total daily global solar exposure in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0030 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0100 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0130 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0200 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0230 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0300 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0330 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0400 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0430 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0500 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0530 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0600 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0630 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0700 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0730 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0800 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0830 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0900 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0930 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1000 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1030 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1100 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1130 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1200 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1230 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1300 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1330 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1400 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1430 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1500 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1530 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1600 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1630 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1700 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1730 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1800 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1830 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1900 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1930 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2000 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2030 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2100 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2130 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2200 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2230 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2300 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2330 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2400 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),#
dc, 86282,2013,02,13,27.403897,0.6847160, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0015360, 0.011395,0.0030610, 0.084483,0.0060900, 0.226501,0.0121910, 0.400218,0.0175420, 0.590265,0.0229020, 0.783765,0.0249060, 0.980667,0.0258720, 1.153597,0.0290560, 1.305282,0.0296730, 1.446453,0.0315160, 1.562181,0.0325260, 1.657371,0.0341890, 1.720612,0.0353560, 1.751455,0.0359380, 1.742932,0.0357820, 1.710109,0.0351560, 1.656568,0.0342730, 1.554115,0.0324820, 1.464436,0.0313600, 1.332043,0.0296480, 1.181800,0.0283130, 0.989892,0.0265170, 0.796295,0.0247250, 0.591912,0.0239740, 0.407826,0.0182850, 0.220889,0.0121960, 0.068277,0.0053490, 0.011551,0.0030400, 0.000993,0.0012500, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,14,19.536842,0.5746340, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0014400, 0.010377,0.0030450, 0.062557,0.0050120, 0.240586,0.0130560, 0.380900,0.0170510, 0.484578,0.0218790, 0.638472,0.0230710, 0.997672,0.0264240, 1.219641,0.0323550, 1.062997,0.0363660, 1.165606,0.0389890, 1.510920,0.0351940, 1.733394,0.0489480, 1.597181,0.0474870, 1.752926,0.0359770, 1.773618,0.0364060, 1.273704,0.0386850, 1.515250,0.0397150, 0.946692,0.0231030, 0.320866,0.0074100, 0.155667,0.0045590, 0.079725,0.0034550, 0.064443,0.0033640, 0.128326,0.0050030, 0.153615,0.0063780, 0.123031,0.0062310, 0.089931,0.0057070, 0.046044,0.0041790, 0.008110,0.0029820, 0.000000,0.0011520, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,15,27.586965,0.6893740, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0011520, 0.019833,0.0033320, 0.096076,0.0068160, 0.213495,0.0120700, 0.420722,0.0186570, 0.613901,0.0224730, 0.805599,0.0247900, 0.990027,0.0263400, 1.157225,0.0276100, 1.310036,0.0290910, 1.438497,0.0306460, 1.550461,0.0323340, 1.638797,0.0338380, 1.700222,0.0349570, 1.725560,0.0354270, 1.719826,0.0353160, 1.676440,0.0344850, 1.630344,0.0336990, 1.559453,0.0325920, 1.467673,0.0313840, 1.340553,0.0299730, 1.195423,0.0288400, 1.027184,0.0277680, 0.837940,0.0263050, 0.635742,0.0238110, 0.443244,0.0201120, 0.259238,0.0143720, 0.091422,0.0066780, 0.021719,0.0034380, 0.000301,0.0010560, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,16,24.875275,0.6791050, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0010560, 0.009860,0.0030450, 0.092772,0.0066550, 0.253045,0.0138040, 0.433449,0.0193090, 0.622003,0.0229010, 0.814209,0.0251850, 1.000533,0.0271130, 1.170600,0.0280190, 1.326059,0.0295080, 1.458807,0.0311200, 1.566898,0.0327010, 1.651388,0.0341110, 1.718059,0.0353320, 1.750369,0.0359410, 1.799096,0.0369430, 1.840483,0.0378790, 1.047630,0.0469100, 1.577226,0.0384240, 1.268310,0.0379600, 0.452565,0.0161140, 0.311171,0.0080820, 0.657202,0.0217240, 0.731016,0.0244770, 0.534750,0.0203370, 0.451282,0.0206250, 0.245796,0.0137730, 0.079093,0.0060320, 0.011528,0.0030550, 0.000067,0.0009600, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,17,26.569850,0.7127140, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0009600, 0.009733,0.0030490, 0.086522,0.0063300, 0.230197,0.0126780, 0.414806,0.0186070, 0.607661,0.0225070, 0.797225,0.0247930, 0.979762,0.0262950, 1.150690,0.0276370, 1.303044,0.0290650, 1.437163,0.0307040, 1.547668,0.0323300, 1.627227,0.0336350, 1.696221,0.0349000, 1.333921,0.0534750, 1.510083,0.0346750, 1.606486,0.0464640, 1.645402,0.0371340, 1.590205,0.0332830, 1.448244,0.0310840, 1.306650,0.0293750, 1.152132,0.0280170, 0.980435,0.0267880, 0.801805,0.0254940, 0.607194,0.0230560, 0.410843,0.0189260, 0.219352,0.0124150, 0.063411,0.0052140, 0.005755,0.0029470, 0.000000,0.0008640, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,18,27.370207,0.6937500, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0008640, 0.011709,0.0030730, 0.088197,0.0064590, 0.234895,0.0130080, 0.416557,0.0188040, 0.605154,0.0225480, 0.802317,0.0250810, 0.991948,0.0267380, 1.157403,0.0278900, 1.307982,0.0292440, 1.452691,0.0310790, 1.561950,0.0326550, 1.651789,0.0341540, 1.707967,0.0351490, 1.739679,0.0357420, 1.739714,0.0357470, 1.713700,0.0352820, 1.651928,0.0341930, 1.565778,0.0328090, 1.424541,0.0354200, 1.340079,0.0302150, 1.212525,0.0296100, 0.941478,0.0310340, 0.792975,0.0253750, 0.585031,0.0223820, 0.396243,0.0184030, 0.219805,0.0125490, 0.049600,0.0045220, 0.006559,0.0029420, 0.000000,0.0007680, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,19, 5.107358,0.1660690, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0006720, 0.000000,0.0028800, 0.013447,0.0030620, 0.046576,0.0039000, 0.058441,0.0039720, 0.060707,0.0036940, 0.087594,0.0039970, 0.179124,0.0058050, 0.149868,0.0050250, 0.254833,0.0065590, 0.245278,0.0068970, 0.293768,0.0075640, 0.288959,0.0077410, 0.271501,0.0068550, 0.241653,0.0063190, 0.481728,0.0110170, 0.345413,0.0083420, 0.373911,0.0090370, 0.336321,0.0086440, 0.260835,0.0068450, 0.228813,0.0061570, 0.205335,0.0059240, 0.183095,0.0059730, 0.207024,0.0073380, 0.166356,0.0070240, 0.082993,0.0048100, 0.030056,0.0033460, 0.012638,0.0030110, 0.001083,0.0028830, 0.000000,0.0007680, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,20,27.198611,0.7063150, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0005760, 0.002595,0.0028980, 0.077557,0.0060360, 0.212508,0.0129040, 0.394748,0.0203280, 0.716282,0.0272810, 0.721849,0.0334990, 0.981684,0.0300820, 1.191902,0.0329050, 1.341734,0.0302010, 1.476303,0.0317170, 1.585535,0.0332320, 1.674873,0.0346900, 1.729318,0.0356400, 1.772915,0.0364620, 1.695933,0.0353680, 1.648441,0.0343750, 1.562236,0.0340650, 1.535404,0.0324620, 1.459882,0.0316410, 1.327415,0.0300780, 1.166952,0.0286570, 0.887436,0.0249940, 0.808003,0.0263240, 0.613804,0.0236530, 0.368935,0.0173770, 0.197921,0.0114440, 0.039873,0.0039890, 0.006562,0.0029460, 0.000000,0.0004800, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,21,18.590156,0.6519880, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0004800, 0.005920,0.0029700, 0.088242,0.0065980, 0.226288,0.0129750, 0.260650,0.0124070, 0.500226,0.0195100, 0.750612,0.0242590, 1.020516,0.0281550, 1.029209,0.0260250, 1.066356,0.0259270, 1.255177,0.0309270, 1.374363,0.0528480, 1.655127,0.0444820, 1.575135,0.0340680, 1.643698,0.0370680, 1.087655,0.0544990, 0.988939,0.0557310, 0.734905,0.0354160, 0.989005,0.0372960, 1.201401,0.0518280, 0.668929,0.0263010, 0.099633,0.0038610, 0.013349,0.0029090, 0.052543,0.0034240, 0.135612,0.0060640, 0.100863,0.0055450, 0.050445,0.0040720, 0.013381,0.0030490, 0.000804,0.0028860, 0.001162,0.0003970, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,22,23.961201,0.6835960, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0002880, 0.001360,0.0028860, 0.033928,0.0037230, 0.064873,0.0046420, 0.120151,0.0062310, 0.310532,0.0122670, 0.571075,0.0203240, 0.596393,0.0175240, 1.056298,0.0285060, 1.269241,0.0291850, 1.409241,0.0303900, 1.507429,0.0320690, 1.631572,0.0347670, 1.669099,0.0354090, 1.748544,0.0370560, 1.752142,0.0510090, 1.295124,0.0505340, 1.662409,0.0420630, 1.431900,0.0448260, 1.026567,0.0316360, 0.879670,0.0286510, 1.046559,0.0281320, 0.972538,0.0277550, 0.719496,0.0241080, 0.580115,0.0229480, 0.357746,0.0172210, 0.189949,0.0112780, 0.054006,0.0048700, 0.003235,0.0029030, 0.000000,0.0003840, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,23,26.204699,0.6562290, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0001920, 0.002299,0.0028940, 0.054870,0.0047750, 0.154759,0.0091360, 0.323504,0.0152320, 0.503106,0.0195060, 0.715092,0.0231190, 0.941113,0.0260910, 1.127044,0.0277510, 1.273830,0.0289110, 1.413526,0.0305350, 1.521603,0.0320040, 1.614384,0.0335060, 1.674633,0.0345500, 1.700434,0.0350060, 1.705107,0.0351050, 1.654311,0.0341500, 1.602649,0.0332990, 1.516590,0.0319650, 1.415685,0.0307090, 1.283867,0.0293430, 1.123686,0.0279760, 0.951900,0.0267980, 0.763628,0.0251500, 0.565400,0.0223080, 0.359631,0.0172580, 0.186719,0.0110820, 0.051050,0.0046660, 0.004269,0.0029150, 0.000000,0.0002880, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,24,23.255602,0.6191140, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0001920, 0.001564,0.0028890, 0.055761,0.0048810, 0.196061,0.0114210, 0.388870,0.0183120, 0.577945,0.0226060, 0.749341,0.0243670, 0.923787,0.0257440, 1.091819,0.0269890, 1.243786,0.0283140, 1.378180,0.0298330, 1.489507,0.0313700, 1.584483,0.0329160, 1.640249,0.0338670, 1.673052,0.0344630, 1.707937,0.0369130, 1.475566,0.0399190, 1.366012,0.0407940, 0.963601,0.0235270, 1.555150,0.0388770, 0.798855,0.0205250, 0.663144,0.0169020, 0.597535,0.0191550, 0.587451,0.0224350, 0.270289,0.0116340, 0.182187,0.0091420, 0.071029,0.0050290, 0.020737,0.0032970, 0.001692,0.0027910, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,25,21.705147,0.6017730, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000960, 0.002067,0.0028930, 0.046366,0.0043620, 0.141379,0.0088270, 0.282933,0.0142530, 0.405660,0.0164910, 0.762841,0.0263430, 0.861208,0.0298030, 0.981647,0.0293260, 1.077347,0.0362580, 1.331196,0.0291670, 1.476262,0.0318300, 1.430916,0.0391370, 1.697322,0.0416880, 1.648069,0.0411320, 1.694907,0.0349400, 1.649358,0.0340970, 1.583143,0.0329650, 1.623718,0.0356970, 1.022367,0.0364870, 0.604565,0.0201110, 0.606336,0.0189710, 0.408275,0.0121700, 0.249709,0.0087530, 0.080256,0.0043420, 0.023828,0.0031060, 0.007395,0.0029240, 0.003447,0.0028880, 0.002618,0.0027030, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,02,26,12.419199,0.3961310, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0028800, 0.001525,0.0028800, 0.003108,0.0028820, 0.009883,0.0029190, 0.030544,0.0031400, 0.084010,0.0040060, 0.141368,0.0049090, 0.153304,0.0048190, 0.215211,0.0057660, 0.246173,0.0060900, 0.207547,0.0053470, 0.345378,0.0077370, 0.459509,0.0099570, 0.618847,0.0132760, 1.265895,0.0321060, 1.186339,0.0427420, 1.084171,0.0399940, 1.517598,0.0321430, 1.373611,0.0300180, 0.908497,0.0252120, 0.669466,0.0207620, 0.617076,0.0241780, 0.644278,0.0327610, 0.500562,0.0251420, 0.088702,0.0052180, 0.036563,0.0036640, 0.010023,0.0029790, 0.000000,0.0025920, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,         ,         ,         ,         ,#
dc, 86282,2013,02,27,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,#
dc, 86282,2013,02,28,11.372738,0.4146230, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.002121,0.0025040, 0.013456,0.0030630, 0.067730,0.0049190, 0.148090,0.0083230, 0.264916,0.0119940, 0.350030,0.0129200, 0.271271,0.0086230, 0.244215,0.0068550, 0.715904,0.0259330, 0.427990,0.0102240, 0.579238,0.0138770, 0.378588,0.0090050, 0.759208,0.0187350, 0.709099,0.0176780, 0.424392,0.0105280, 0.424213,0.0100940, 0.796592,0.0184200, 0.891241,0.0233820, 0.751669,0.0319620, 0.965188,0.0519780, 0.771133,0.0380460, 0.312027,0.0138750, 0.340401,0.0157440, 0.445895,0.0216990, 0.209287,0.0123590, 0.085609,0.0060280, 0.022819,0.0034440, 0.000405,0.0024000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,03,01,26.356359,0.8980820, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.001033,0.0024040, 0.043401,0.0043690, 0.184424,0.0111660, 0.369414,0.0180970, 0.563861,0.0227320, 0.765871,0.0257460, 0.958535,0.0275020, 1.119338,0.0380930, 1.279230,0.0497050, 1.476354,0.0517950, 1.636884,0.0476150, 1.650373,0.0488580, 1.554026,0.0698230, 1.743007,0.0516610, 1.626418,0.0787820, 1.633419,0.0612310, 1.616755,0.0427310, 1.507670,0.0411820, 1.413191,0.0320660, 1.276378,0.0306220, 1.114939,0.0292420, 0.938865,0.0279070, 0.753285,0.0261930, 0.555657,0.0231190, 0.359820,0.0181580, 0.172975,0.0107920, 0.038940,0.0041590, 0.002284,0.0023170, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,03,02,26.324762,0.6849930, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000833,0.0023080, 0.041323,0.0042890, 0.181049,0.0110380, 0.366087,0.0180480, 0.566894,0.0229900, 0.766276,0.0259080, 0.952597,0.0274760, 1.126196,0.0286200, 1.278885,0.0297040, 1.421149,0.0311850, 1.531557,0.0325390, 1.623565,0.0348240, 1.680048,0.0358000, 1.710631,0.0363780, 1.708775,0.0363780, 1.676239,0.0358360, 1.612123,0.0347850, 1.518135,0.0333540, 1.404691,0.0319150, 1.262970,0.0304130, 1.105988,0.0291600, 0.932740,0.0279070, 0.745159,0.0261140, 0.550182,0.0230880, 0.353910,0.0180180, 0.168631,0.0106240, 0.036287,0.0040630, 0.001833,0.0022190, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,03,03,26.159902,0.6835670, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000720,0.0022110, 0.042934,0.0043930, 0.186006,0.0113860, 0.369583,0.0183300, 0.564644,0.0230420, 0.759122,0.0258160, 0.946009,0.0274270, 1.118548,0.0285480, 1.275003,0.0297120, 1.410729,0.0310310, 1.522743,0.0328840, 1.610464,0.0345990, 1.668647,0.0356050, 1.699446,0.0361840, 1.699030,0.0362160, 1.666398,0.0356770, 1.601019,0.0346080, 1.508066,0.0332140, 1.393954,0.0317830, 1.258965,0.0304630, 1.104796,0.0293090, 0.930856,0.0280590, 0.741236,0.0261930, 0.544248,0.0230430, 0.343860,0.0176650, 0.159903,0.0101980, 0.031724,0.0038430, 0.001237,0.0021190, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
