"datetime","hourly_temp_27","hourly_light_27","hourly_turbidity","hourly_rain","hourly_flow"
2020-12-25 04:00:00,17.286083984375,0,12.0367666666667,0,0.229
2020-12-25 05:00:00,17.114482421875,0,12.0185666666667,0,0.222
2020-12-25 06:00:00,17.07158203125,35.96,11.9567666666667,0,0.222
2020-12-25 07:00:00,17.028681640625,371.68,11.8883103448276,0,0.222
2020-12-25 08:00:00,17.114482421875,1140.48,11.9100666666667,0,0.215
2020-12-25 09:00:00,17.286083984375,2306.56,11.8169,0,0.209
2020-12-25 10:00:00,17.543486328125,3765.76,11.8008,0,0.209
2020-12-25 11:00:00,18.1869921875,5831.68,11.6932413793103,0,0.209
2020-12-25 12:00:00,18.487294921875,6248.96,11.6660666666667,0,0.209
2020-12-25 13:00:00,19.5598046875,11929.6,11.6124193548387,0,0.202
2020-12-25 14:00:00,19.774306640625,4121.6,11.5216333333333,0,0.209
2020-12-25 15:00:00,20.289111328125,2922.24,11.5682068965517,0,0.202
2020-12-25 16:00:00,20.5894140625,2072.96,11.4991333333333,0,0.202
2020-12-25 17:00:00,20.718115234375,5299.2,11.5068,0,0.196
2020-12-25 18:00:00,20.203310546875,1016.64,11.5952333333333,0,0.19
2020-12-25 19:00:00,19.860107421875,588.96,11.6731034482759,0,0.19
2020-12-25 20:00:00,19.345302734375,271.28,11.704,0,0.184
2020-12-25 21:00:00,18.95919921875,3.62,11.646,0,0.184
2020-12-25 22:00:00,18.744697265625,0,12.5628333333333,0,0.178
2020-12-25 23:00:00,18.44439453125,0,12.661275862069,0,0.172
2020-12-26 00:00:00,18.229892578125,0,12.7586,0,0.172
2020-12-26 01:00:00,18.058291015625,0,13.8201290322581,0,0.167
2020-12-26 02:00:00,17.886689453125,0,12.5809333333333,0,0.161
2020-12-26 03:00:00,17.6721875,0,12.2026896551724,0,0.161
2020-12-26 04:00:00,17.543486328125,0,12.2319,0,0.161
2020-12-26 05:00:00,17.328984375,0,12.4027666666667,0,0.161
2020-12-26 06:00:00,17.200283203125,63.44,12.3040666666667,0,0.155
2020-12-26 07:00:00,17.1573828125,440.48,12.2779333333333,0,0.155
2020-12-26 08:00:00,17.07158203125,668.48,12.1204137931034,0,0.155
2020-12-26 09:00:00,17.200283203125,968,12.0653333333333,0,0.155
2020-12-26 10:00:00,18.144091796875,7408.64,12.0296333333333,0,0.155
2020-12-26 11:00:00,18.95919921875,5204.48,12.0169333333333,0,0.155
2020-12-26 12:00:00,20.4178125,30289.92,12.0078620689655,0,0.15
2020-12-26 13:00:00,21.318720703125,6551.04,11.864,0,0.15
2020-12-26 14:00:00,21.447421875,4561.92,11.8329,0,0.15
2020-12-26 15:00:00,22.3054296875,8373.76,11.8615,0,0.145
2020-12-26 16:00:00,22.6486328125,3861.76,11.8171724137931,0,0.15
2020-12-26 17:00:00,23.120537109375,3486.72,11.7334666666667,0,0.15
2020-12-26 18:00:00,22.519931640625,681.92,11.865,0,0.145
2020-12-26 19:00:00,22.176728515625,508.32,11.8122,0,0.145
2020-12-26 20:00:00,21.6190234375,221.28,11.9254827586207,0,0.14
2020-12-26 21:00:00,21.19001953125,4.48,11.9158,0,0.14
2020-12-26 22:00:00,20.803916015625,0,11.8594666666667,0,0.134
2020-12-26 23:00:00,20.460712890625,0,11.9089333333333,0,0.134
2020-12-27 00:00:00,20.203310546875,0,11.9272413793103,0,0.134
2020-12-27 01:00:00,19.9030078125,0,11.9310967741935,0,0.129
2020-12-27 02:00:00,19.688505859375,0,11.9680666666667,0,0.129
2020-12-27 03:00:00,19.516904296875,0,12.0035666666667,0,0.129
2020-12-27 04:00:00,19.345302734375,0,12.0333103448276,0,0.129
2020-12-27 05:00:00,19.259501953125,0,12.0635,0,0.129
2020-12-27 06:00:00,19.2166015625,18.35,12.1352666666667,0,0.124
2020-12-27 07:00:00,19.173701171875,692.16,11.9832,0,0.124
2020-12-27 08:00:00,19.2166015625,1789.44,11.9645172413793,0,0.124
2020-12-27 09:00:00,19.259501953125,584.8,12.3121666666667,0,0.124
2020-12-27 10:00:00,19.30240234375,2040.32,12.2495333333333,0,0.124
2020-12-27 11:00:00,19.30240234375,2024.96,12.4642666666667,0,0.119
2020-12-27 12:00:00,19.345302734375,1726.08,12.6695172413793,0,0.119
2020-12-27 13:00:00,19.47400390625,2055.68,12.6268709677419,0,0.119
2020-12-27 14:00:00,19.860107421875,2503.04,12.5387666666667,0,0.119
2020-12-27 15:00:00,20.031708984375,782.72,12.4842,0,0.119
2020-12-27 16:00:00,20.117509765625,2352.64,12.3041034482759,0,0.119
2020-12-27 17:00:00,20.117509765625,1158.4,12.6033,0,0.119
2020-12-27 18:00:00,20.074609375,271.28,12.5839,0,0.119
2020-12-27 19:00:00,19.774306640625,144.16,12.5540333333333,0,0.119
2020-12-27 20:00:00,19.5598046875,23.1,12.5445517241379,0.2,0.114
2020-12-27 21:00:00,19.345302734375,0,12.2100666666667,0.6,0.114
2020-12-27 22:00:00,18.78759765625,0,12.4589,0.4,0.129
2020-12-27 23:00:00,18.1869921875,0,12.4651333333333,1.6,0.155
2020-12-28 00:00:00,17.629287109375,0,12.2509310344828,0.2,0.332
2020-12-28 01:00:00,17.800888671875,0,12.3127419354839,0,0.266
2020-12-28 02:00:00,18.015390625,0,12.3247666666667,0,0.251
2020-12-28 03:00:00,17.715087890625,0,12.5245666666667,0,0.19
2020-12-28 04:00:00,17.328984375,0,12.6333333333333,0,0.15
2020-12-28 05:00:00,16.771279296875,0,12.356275862069,0,0.134
2020-12-28 06:00:00,16.428076171875,16.86,12.3700666666667,0,0.129
2020-12-28 07:00:00,16.428076171875,666.56,12.1427,0,0.129
2020-12-28 08:00:00,16.642578125,766.08,12.1399,0,0.15
2020-12-28 09:00:00,16.857080078125,987.52,12.0616551724138,0,0.172
2020-12-28 10:00:00,17.328984375,4128,11.9809333333333,0,0.178
2020-12-28 11:00:00,17.5005859375,2241.92,11.9933333333333,0,0.172
2020-12-28 12:00:00,17.972490234375,11581.44,11.8873666666667,0,0.161
2020-12-28 13:00:00,19.2166015625,14423.04,11.7898666666667,0,0.15
2020-12-28 14:00:00,19.5598046875,8885.76,11.7845,0,0.14
2020-12-28 15:00:00,20.4178125,14417.92,11.7240689655172,0,0.14
2020-12-28 16:00:00,20.50361328125,9356.8,11.6000666666667,0,0.14
2020-12-28 17:00:00,20.374912109375,4230.4,11.7423448275862,0,0.14
2020-12-28 18:00:00,19.98880859375,2327.04,11.6850666666667,0,0.134
2020-12-28 19:00:00,19.516904296875,1055.04,11.7254333333333,0,0.134
2020-12-28 20:00:00,19.13080078125,556.64,11.6439,0,0.129
2020-12-28 21:00:00,18.61599609375,4.9,11.7111379310345,0,0.124
2020-12-28 22:00:00,18.229892578125,0,11.8621,0,0.124
2020-12-28 23:00:00,17.92958984375,0,12,0,0.114
2020-12-29 00:00:00,17.629287109375,0,11.9469,0,0.109
2020-12-29 01:00:00,17.371884765625,0,12.0515333333333,0,0.109
2020-12-29 02:00:00,17.114482421875,0,12.2276333333333,0,0.104
