"date","daily_rain","daily_WL","daily_turbidity","max_temp","total_solar_exposure"
2013-03-29,0,0.52140625,17.0625,17.8,10.148471
2013-03-30,0,0.34034375,13.2666666666667,21.6,10.675853
2013-03-31,2.8,0.348239583333333,14.4010416666667,17.5,10.141277
2013-04-01,1,0.34128125,15.8052083333333,20.1,10.129882
2013-04-02,0,0.370010416666667,18.3760416666667,18.9,6.654138
2013-04-03,3.2,0.339216494845361,20.3989690721649,16.9,8.69318
2013-04-04,0,0.282541666666667,14.6666666666667,19.7,18.543779
2013-04-05,0,0.255708333333333,12.8114583333333,24.6,14.887292
2013-04-06,0,0.24196875,11.4729166666667,27.1,17.135404
2013-04-07,0,0.317104166666667,16.50625,27.7,11.370937
2013-04-08,0,0.319333333333333,20.634375,21.8,12.9058
2013-04-09,0,0.262197916666667,12.196875,22.3,15.413526
2013-04-10,0,0.254375,10.4989583333333,24.3,16.674879
2013-04-11,0,0.247791666666667,10.95,16.5,3.363738
2013-04-12,0,0.239427083333333,9.71354166666667,27.2,15.107599
2013-04-13,0,0.228541666666667,9.646875,24.1,3.144326
2013-04-14,0,0.226052083333333,9.90520833333333,21.4,9.291564
2013-04-15,5.4,0.3756875,17.9458333333333,15,5.051022
2013-04-16,0,0.3205625,13.8,18.2,10.8772777586207
2013-04-17,0,0.267291666666667,12.75625,17.6,9.069326
2013-04-18,0,0.3683125,19.0739583333333,15.9,6.142844
2013-04-19,6.6,0.3539375,19.2354166666667,16.2,13.670658
2013-04-20,0,0.2865625,14.8739583333333,17.8,12.578641
2013-04-21,0,0.256854166666667,13.7895833333333,20.7,14.230481
2013-04-22,0.6,0.2475625,14.396875,18.5,6.592835
2013-04-23,1.8,0.354145833333333,19.89375,18.8,12.02728
2013-04-24,0,0.289770833333333,15.7354166666667,20.1,9.817721
2013-04-25,2.2,0.334354166666667,15.8510416666667,20.8,13.053254
2013-04-26,0,0.264979166666667,12.565625,22,9.175543
2013-04-27,0,0.243073170731707,11.4951219512195,24.5,13.005844
2013-05-06,0,0.226527272727273,4.69818181818182,18.6,13.040578
2013-05-07,0,0.225145833333333,5.58229166666667,19.9,9.476013
2013-05-08,0,0.220729166666667,5.578125,23.9,12.871145
2013-05-09,0,0.212989583333333,5.70208333333333,26.2,12.359242
2013-05-10,0,0.212125,5.934375,25,11.95461
2013-05-11,0,0.21290625,6.04583333333333,24.1,11.551085
2013-05-12,0,0.2125,6.69166666666667,23.4,8.01765
2013-05-13,1.6,0.296604166666667,23.3625,17.6,9.061151
2013-05-14,0,0.255833333333333,17.45625,13.5,8.567596
2013-05-15,0.4,0.25459375,14.875,15.5,7.225455
2013-05-16,1.6,0.536583333333333,32.8322916666667,15.4,4.697178
2013-05-17,9.2,0.456239583333333,23.6447916666667,15.5,6.781824
2013-05-18,0.4,0.302427083333333,18.8927083333333,13.5,4.996835
2013-05-19,0.2,0.255958333333333,14.2,16.9,10.419577
2013-05-20,0,0.338010416666667,19.5135416666667,14.6,3.806052
2013-05-21,5.8,0.33440625,21.859375,16,10.196171
2013-05-23,0,0.249385416666667,15.7666666666667,15.7,9.992624
2013-05-24,0,0.24078125,14.6458333333333,16.7,9.983087
2013-05-25,0,0.240333333333333,14.1479166666667,18.6,8.71904
2013-05-26,0,0.2294375,14.0572916666667,15.6,3.071279
2013-05-27,0,0.21546875,14.003125,14.8,5.682126
2013-05-28,0,0.210322916666667,14.8760416666667,17.9,9.986204
2013-05-29,0,0.211427083333333,15.0302083333333,18.4,5.710187
2013-05-30,0,0.449864583333333,31.925,15.5,1.407431
2013-05-31,5,0.666552083333333,44.0885416666667,17.3,6.928754
2013-06-01,110,2.51919791666667,272.191666666667,15.1,2.317027
2013-06-02,3,1.01225,141.290625,14.4,6.292694
