"date","daily_rain","daily_WL","daily_turbidity","water_temp","lux"
2013-01-02,0,0.185083333333333,6.696875,18.619898362,41540.7232407407
2013-01-03,0,0.1844375,6.84166666666667,31.82071557,45540.654212963
2013-01-04,0,0.180822916666667,7.95208333333333,34.74494723,36977.1845019157
2013-01-05,0,0.189364583333333,7.14270833333333,23.04802059,42701.3922685185
2013-01-06,0,0.184041666666667,6.92395833333333,22.21252583,43869.6156944444
2013-01-07,0,0.171322916666667,4.56041666666667,28.729384958,45175.7640740741
2013-01-08,0,0.189081818181818,5.22272727272727,28.395187054,33609.209537037
2013-01-09,0,0.164885416666667,3.86979166666667,18.03505203,34994.5859027778
2013-01-10,0,0.158895833333333,3.18958333333333,23.298669018,45189.1727777778
2013-01-11,0,0.153291666666667,2.94895833333333,34.243650374,40980.0753472222
2013-01-12,0,0.16578125,4.40416666666667,20.95928369,25981.3190972222
2013-01-13,0,0.1565625,4.75,16.614710938,11972.9359722222
2013-01-14,0.4,0.157666666666667,4.93020833333333,18.03505203,40078.4925231481
2013-01-15,0,0.160979166666667,4.728125,25.220306966,45711.2212268518
2013-01-16,0,0.166572916666667,4.39166666666667,22.21252583,44689.21
2013-01-17,0,0.166010416666667,6.02395833333333,34.577848278,36921.0266203704
2013-01-18,0,0.16575,4.8625,23.967064826,25421.7768287037
2013-01-19,0,0.170635416666667,6.73125,18.703447838,39920.7468055556
2013-01-20,0,0.1626875,6.45104166666667,22.296075306,45304.1380092593
2013-01-21,0,0.16453125,5.525,23.298669018,40386.2361111111
2013-01-22,0,0.174376237623762,3.8039603960396,20.792184738,39334.8036805556
2013-01-23,0,0.17328125,4.14791666666667,19.538942598,44590.1330092593
2013-01-24,0,0.187145833333333,4.05833333333333,30.14972605,44632.8414814815
2013-01-25,0,0.184729166666667,3.98645833333333,22.880921638,19265.2543981481
2013-01-26,0,0.212104166666667,5.553125,18.03505203,23279.9510416667
2013-01-27,0.8,0.218229166666667,7.88854166666667,19.956689978,35678.8971759259
2013-01-28,0,0.21003125,4.721875,20.54153631,39267.7432175926
2013-01-29,3,0.259552083333333,5.36458333333333,17.032458318,28444.1630324074
2013-01-30,0,0.25625,4.96770833333333,24.050614302,44063.5618055556
2013-01-31,0,0.395427083333333,19.415625,21.460580546,23792.705462963
2013-02-01,10.2,0.558245098039216,25.6274509803922,15.862765654,32350.4420601852
2013-02-02,0,0.32803125,15.0572916666667,17.867953078,37970.5965740741
2013-02-03,2,0.297635416666667,12.5927083333333,20.95928369,26731.8464351852
2013-02-04,0,0.283020833333333,11.4072916666667,18.954096266,37686.7587731481
2013-02-05,0,0.236822916666667,9.67604166666667,25.053208014,41141.3652777778
2013-02-06,0,0.209458333333333,8.74895833333333,31.152319762,40534.0184953704
2013-02-07,0,0.19590625,9.496875,27.309043866,35219.377962963
2013-02-08,0,0.19084375,7.84791666666667,25.220306966,41657.7048611111
2013-02-09,0,0.1816875,7.278125,27.22549439,35869.2454166667
2013-02-10,3,0.228802083333333,10.8739583333333,19.037645742,33172.8562037037
2013-02-11,0,0.21825,7.63854166666667,21.37703107,39346.8610648148
2013-02-12,0,0.201473684210526,7.63263157894737,21.711228974,34666.7702083333
2013-02-13,0,0.197270833333333,7.65625,27.392593342,38695.3175231482
2013-02-14,0,0.1945,6.76666666666667,27.392593342,27586.7444907407
2013-02-15,0,0.19478125,5.971875,26.306450154,38953.8163194444
2013-02-16,1,0.185541666666667,4.996875,29.147132338,35124.8096064815
2013-02-17,0,0.18521875,4.38229166666667,29.564879718,37517.6122685185
2013-02-18,0,0.179020833333333,3.18125,30.56747343,38647.7459953704
2013-02-19,0,0.186233644859813,3.36635514018692,16.029864606,7211.77865740741
2013-02-20,0,0.1870625,3.83645833333333,22.964471114,38405.446087963
2013-02-21,0,0.277104166666667,13.9614583333333,26.055801726,26249.9887962963
2013-02-22,19,0.761385416666667,59.8364583333333,26.640648058,33834.1032638889
2013-02-23,0,0.358541666666667,15.6458333333333,26.640648058,37002.0055324074
2013-02-24,0,0.266791666666667,7.78645833333333,28.89648391,32837.7713425926
2013-02-25,0,0.235177083333333,4.87083333333333,28.144538626,30648.4714583333
2013-02-26,31,1.076125,54.09375,23.88351535,17536.3689583333
2013-02-28,23,0.894458333333333,34.759375,15.361468798,16058.7272685185
2013-03-01,0,0.484854166666667,20.6427083333333,19.956689978,37216.1550694444
2013-03-02,0,0.328979166666667,17.4864583333333,22.045426878,37171.5389351852
2013-03-03,0,0.281895833333333,15.4302083333333,24.134163778,36938.7505092593
2013-03-04,0,0.248802083333333,12.4677083333333,26.38999963,36228.4549305556
2013-03-05,0,0.22940206185567,9.59072164948454,27.392593342,36062.931712963
2013-03-06,0,0.229625,7.0625,28.144538626,33970.4283796296
2013-03-07,0,0.231875,6.396875,29.481330242,23760.2568518519
2013-03-08,0,0.229041666666667,4.17083333333333,28.980033386,26028.09
2013-03-09,0,0.224739583333333,3.29791666666667,30.066176574,27573.8215277778
2013-03-10,0,0.239,3.709375,30.400374478,19739.6254166667
2013-03-11,0,0.227364583333333,5.03333333333333,30.901671334,29130.4511574074
2013-03-12,0,0.214479166666667,4.01041666666667,30.316825002,32548.2585648148
2013-03-13,0,0.206020833333333,4.68958333333333,22.21252583,25975.2078009259
2013-03-14,0,0.2008125,4.62395833333333,18.619898362,24100.2485416667
2013-03-15,0,0.196697916666667,4.153125,19.455393122,26416.88875
2013-03-16,0,0.357979166666667,12.4270833333333,20.12378893,13148.434212963
2013-03-17,36.6,0.9798125,42.9291666666667,14.358875086,12816.5786805556
